iter	Passed	Remaining
774	3153	268
775	3157	264
776	3161	260
777	3165	256
778	3168	252
779	3173	248
780	3176	244
781	3180	239
782	3184	235
783	3188	231
784	3192	227
785	3196	223
786	3200	219
787	3203	215
788	3207	211
789	3211	207
790	3215	203
791	3219	199
792	3223	195
793	3226	191
794	3230	186
795	3234	182
796	3238	178
797	3242	174
798	3246	170
799	3250	166
800	3254	162
801	3258	158
802	3262	154
803	3265	150
804	3269	146
805	3273	142
806	3277	138
807	3281	134
808	3284	129
809	3288	125
810	3292	121
811	3296	117
812	3300	113
813	3304	109
814	3308	105
815	3311	101
816	3315	97
817	3319	93
818	3323	89
819	3327	85
820	3331	81
821	3335	77
822	3339	73
823	3343	68
824	3346	64
825	3350	60
826	3354	56
827	3358	52
828	3362	48
829	3366	44
830	3369	40
831	3373	36
832	3377	32
833	3381	28
834	3385	24
835	3389	20
836	3393	16
837	3396	12
838	3400	8
839	3404	4
840	3408	0
